0,y_predict
285_BH8DSI_G47,1.1222676488537076
287_BH8DSI_G47,1.058011925964827
208_BH8DSI_G47,1.045079297085591
210_BH8DSI_G47,1.04146305380727
198_BH8DSI_G47,1.040102778639298
184_BH8DSI_G47,1.0399130474367269
71_BH8DSI_G47,1.0180652906950949
270_BH8DSI_G47,1.008655117771724
815_BH8DSI_G47,0.994662725034587
71_BDSI_G47,0.9868542217386144
125_BH8DSI_G47,0.9857276822499692
284_BH8DSI_G47,0.983605422924608
285_BDSI_G47,0.9637233444554544
115_BH8DSI_G47,0.9523727517772363
143_BH8DSI_G47,0.9475113978266414
194_BH8DSI_G47,0.9447259262529356
287_BDSI_G47,0.9422303949008964
184_BDSI_G47,0.9366726744406506
209_BH8DSI_G47,0.9360445204449376
284_BDSI_G47,0.9337654153809148
232_BH8DSI_G47,0.931040738305594
290_BH8DSI_G47,0.9271920376138691
270_BDSI_G47,0.9141077031479944
195_BH8DSI_G47,0.9076645581294612
198_BDSI_G47,0.9068778475958864
125_BDSI_G47,0.8988338763063588
69_BH8DSI_G47,0.8968761246106833
208_BDSI_G47,0.8955146548933008
210_BDSI_G47,0.89492708503942
508_BH8DSI_G47,0.8913510014140087
474_BH8DSI_G47,0.8873222676241141
239_BH8DSI_G47,0.8851030717421011
315_BDSI_G47,0.8848715070151876
265_BH8DSI_G47,0.8825949438944569
243_BH8DSI_G47,0.8825474435260503
315_BH8DSI_G47,0.8809553360197597
310_BH8DSI_G47,0.8749155171531946
312_BH8DSI_G47,0.8737792482422826
219_BH8DSI_G47,0.8661840592792274
291_BH8DSI_G47,0.8656732192077818
211_BH8DSI_G47,0.8641219884762812
231_BH8DSI_G47,0.8632415104222986
268_BH8DSI_G47,0.8626327649058325
309_BH8DSI_G47,0.8578251446059149
199_BH8DSI_G47,0.8572807971760064
140_BH8DSI_G47,0.856610901377028
68_BH8DSI_G47,0.8557776760151512
70_BH8DSI_G47,0.8541636340410363
115_BDSI_G47,0.8502890383233996
558_BH8DSI_G47,0.8496936321191022
72_BH8DSI_G47,0.8493983014805586
209_BDSI_G47,0.8484725778495701
69_BDSI_G47,0.8437866321820842
526_BH8DSI_G47,0.8429231746850796
302_BH8DSI_G47,0.8425802975179515
66_BH8DSI_G47,0.8417950266491339
195_BDSI_G47,0.8412586029276152
311_BH8DSI_G47,0.8377604984652525
815_BDSI_G47,0.8349317141267907
194_BDSI_G47,0.8335169987178759
235_BH8DSI_G47,0.8322520106739368
103_BH8DSI_G47,0.8300015112026387
73_BH8DSI_G47,0.8272241456938687
260_BH8DSI_G47,0.8266251828108722
73_BDSI_G47,0.8261564419929464
338_BH8DSI_G47,0.825018385262343
78_BH8DSI_G47,0.8249614732588562
70_BDSI_G47,0.8215698335079331
310_BDSI_G47,0.8205342785659369
265_BDSI_G47,0.8203535087860487
272_BH8DSI_G47,0.8201623714079176
548_BH8DSI_G47,0.8186305491668229
232_BDSI_G47,0.8176478045083719
197_BH8DSI_G47,0.8162889271407465
508_BDSI_G47,0.8160331607561204
308_BH8DSI_G47,0.8135125654015454
68_BDSI_G47,0.8093889682576396
72_BDSI_G47,0.8089701101757303
306_BH8DSI_G47,0.8045837870664378
303_BH8DSI_G47,0.8045705434886479
136_BH8DSI_G47,0.8041031335914077
459_BH8DSI_G47,0.8040377737006956
141_BH8DSI_G47,0.8020691541810194
75_BH8DSI_G47,0.8016665693145875
299_BH8DSI_G47,0.8004810923975967
326_BH8DSI_G47,0.7977064682958925
305_BH8DSI_G47,0.7953386511776479
294_BH8DSI_G47,0.7945867866706848
258_BH8DSI_G47,0.7938137683765589
300_BH8DSI_G47,0.7907040118328368
231_BDSI_G47,0.7876569141445984
143_BDSI_G47,0.7875027887881068
460_BH8DSI_G47,0.787398899065181
474_BDSI_G47,0.7863773424958289
298_BH8DSI_G47,0.7862042233350124
335_BH8DSI_G47,0.7833042019065175
289_BH8DSI_G47,0.7823497274393443
179_BH8DSI_G47,0.7821344003691628
526_BDSI_G47,0.7821026928794161
225_BH8DSI_G47,0.7812386667774085
